posFile,posFileTest,posFileTestNew,stimFile,stimFileNew,cs_neg_s,cs_pos_s,cs_neg_ns,cs_pos_ns,cs_neg_s_new,cs_pos_s_new,cs_neg_ns_new,cs_pos_ns_new,stim,position,position1,stim1,position2,stim2,position3,stim3,position4,stim4,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,ratingtrials1.thisRepN,ratingtrials1.thisTrialN,ratingtrials1.thisN,ratingtrials1.thisIndex,search_task_trials.thisRepN,search_task_trials.thisTrialN,search_task_trials.thisN,search_task_trials.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ratingtrials2.thisRepN,ratingtrials2.thisTrialN,ratingtrials2.thisN,ratingtrials2.thisIndex,testtrials.thisRepN,testtrials.thisTrialN,testtrials.thisN,testtrials.thisIndex,loop_test.thisRepN,loop_test.thisTrialN,loop_test.thisN,loop_test.thisIndex,testtrials_novelty.thisRepN,testtrials_novelty.thisTrialN,testtrials_novelty.thisN,testtrials_novelty.thisIndex,loop_test_novelty.thisRepN,loop_test_novelty.thisTrialN,loop_test_novelty.thisN,loop_test_novelty.thisIndex,ratingtrials3.thisRepN,ratingtrials3.thisTrialN,ratingtrials3.thisN,ratingtrials3.thisIndex,textStart.started,textStartExp.started,imageRating.started,sliderStim.response,sliderStim.rt,textStartSearch.started,target_positions,distractor_positions,textStartTask.started,image.started,score,outcome,roi.numLooks,roi.timesOn,roi.timesOff,imageFeedback.started,textTestInstr.started,test_image1.started,test_image2.started,test_image3.started,test_image4.started,test_roi1.numLooks,test_roi1.timesOn,test_roi1.timesOff,test_roi2.numLooks,test_roi2.timesOn,test_roi2.timesOff,test_roi3.numLooks,test_roi3.timesOn,test_roi3.timesOff,test_roi4.numLooks,test_roi4.timesOn,test_roi4.timesOff,test_image_feedback1.started,test_image_feedback2.started,test_iamge_feedback3.started,test_iamge_feedback4.started,participant,group,date,expName,psychopyVersion,frameRate,
positions.xlsx,positions_test.xlsx,positions_test_new.xlsx,stimuli.xlsx,stimuli_new.xlsx,stimuli/Social4.png,stimuli/Social3.png,stimuli/Nonsocial4.png,stimuli/Nonsocial3.png,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial2.png,stimuli/Nonsocial1.png,cs_neg_s,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.184248899924569,174.71241099992767,185.6273662999738,5.0,8.117587900022045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,D,2024-05-22_09h21.00.978,attentional_competition_task,2022.2.4,143.87185040075676,
positions.xlsx,positions_test.xlsx,positions_test_new.xlsx,stimuli.xlsx,stimuli_new.xlsx,stimuli/Social4.png,stimuli/Social3.png,stimuli/Nonsocial4.png,stimuli/Nonsocial3.png,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial2.png,stimuli/Nonsocial1.png,cs_neg_ns,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.9255598000018,8.0,2.234756899997592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,D,2024-05-22_09h21.00.978,attentional_competition_task,2022.2.4,143.87185040075676,
positions.xlsx,positions_test.xlsx,positions_test_new.xlsx,stimuli.xlsx,stimuli_new.xlsx,stimuli/Social4.png,stimuli/Social3.png,stimuli/Nonsocial4.png,stimuli/Nonsocial3.png,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial2.png,stimuli/Nonsocial1.png,cs_pos_s,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.05046099994797,6.0,4.3143528999062255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,D,2024-05-22_09h21.00.978,attentional_competition_task,2022.2.4,143.87185040075676,
positions.xlsx,positions_test.xlsx,positions_test_new.xlsx,stimuli.xlsx,stimuli_new.xlsx,stimuli/Social4.png,stimuli/Social3.png,stimuli/Nonsocial4.png,stimuli/Nonsocial3.png,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial2.png,stimuli/Nonsocial1.png,cs_pos_ns,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.79329649999272,8.0,2.820316100027412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,D,2024-05-22_09h21.00.978,attentional_competition_task,2022.2.4,143.87185040075676,
positions.xlsx,positions_test.xlsx,positions_test_new.xlsx,stimuli.xlsx,stimuli_new.xlsx,stimuli/Social4.png,stimuli/Social3.png,stimuli/Nonsocial4.png,stimuli/Nonsocial3.png,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial2.png,stimuli/Nonsocial1.png,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.1958953998983,"[[0.0, -0.30000000000000004], [0.0, -0.8], [0.6749999999999999, 0.7], [-0.45, 0.7], [-0.22499999999999998, -0.8], [-0.675, 0.7], [0.9, 0.19999999999999996], [0.6749999999999999, 0.19999999999999996], [-0.22499999999999998, -0.30000000000000004], [-0.22499999999999998, 0.7], [-0.675, -0.30000000000000004], [-0.9, 0.19999999999999996], [0.6749999999999999, -0.8], [-0.9, -0.8], [0.9, 0.7]]","[[0.22499999999999998, 0.19999999999999996], [0.9, -0.8], [0.9, -0.30000000000000004], [-0.45, 0.19999999999999996], [0.22499999999999998, -0.30000000000000004], [-0.45, -0.30000000000000004], [0.22499999999999998, -0.8], [0.45000000000000007, 0.19999999999999996], [-0.22499999999999998, 0.19999999999999996], [-0.675, -0.8], [-0.9, -0.30000000000000004], [-0.45, -0.8], [0.22499999999999998, 0.7], [0.0, 0.19999999999999996], [-0.675, 0.19999999999999996]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,D,2024-05-22_09h21.00.978,attentional_competition_task,2022.2.4,143.87185040075676,
positions.xlsx,positions_test.xlsx,positions_test_new.xlsx,stimuli.xlsx,stimuli_new.xlsx,stimuli/Social4.png,stimuli/Social3.png,stimuli/Nonsocial4.png,stimuli/Nonsocial3.png,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial2.png,stimuli/Nonsocial1.png,,,,,,,,,,,0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[-0.9, -0.8], [0.45000000000000007, 0.7], [-0.675, 0.7], [-0.9, 0.7], [-0.675, -0.8], [0.22499999999999998, 0.7], [0.45000000000000007, 0.19999999999999996], [-0.22499999999999998, -0.8], [-0.22499999999999998, -0.30000000000000004], [-0.675, 0.19999999999999996], [-0.22499999999999998, 0.7], [0.0, 0.19999999999999996], [-0.9, -0.30000000000000004], [0.45000000000000007, -0.8], [-0.22499999999999998, 0.19999999999999996]]","[[0.9, -0.8], [0.22499999999999998, 0.19999999999999996], [0.6749999999999999, 0.19999999999999996], [0.9, 0.7], [0.0, -0.30000000000000004], [0.9, 0.19999999999999996], [0.22499999999999998, -0.30000000000000004], [0.45000000000000007, -0.30000000000000004], [-0.675, -0.30000000000000004], [-0.45, 0.19999999999999996], [0.0, 0.7], [-0.45, -0.8], [0.6749999999999999, -0.8], [-0.45, 0.7], [0.6749999999999999, 0.7]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,D,2024-05-22_09h21.00.978,attentional_competition_task,2022.2.4,143.87185040075676,
positions.xlsx,positions_test.xlsx,positions_test_new.xlsx,stimuli.xlsx,stimuli_new.xlsx,stimuli/Social4.png,stimuli/Social3.png,stimuli/Nonsocial4.png,stimuli/Nonsocial3.png,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial2.png,stimuli/Nonsocial1.png,cs_neg_s,"(-0.7, -0.5)",,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.4216977999313,314.33050069992896,-3,loss,1,0.25722290005069226,0.2572264999616891,314.60129299992695,,,,,,,,,,,,,,,,,,,,,,46,D,2024-05-22_09h21.00.978,attentional_competition_task,2022.2.4,143.87185040075676,
positions.xlsx,positions_test.xlsx,positions_test_new.xlsx,stimuli.xlsx,stimuli_new.xlsx,stimuli/Social4.png,stimuli/Social3.png,stimuli/Nonsocial4.png,stimuli/Nonsocial3.png,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial2.png,stimuli/Nonsocial1.png,cs_neg_ns,"(0.7, 0.5)",,,,,,,,,0,0,0,0,,,,,,,,,0,1,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.0801856999751,-6,loss,1,0.7014938000356779,0.7014977999497205,322.7884906999534,,,,,,,,,,,,,,,,,,,,,,46,D,2024-05-22_09h21.00.978,attentional_competition_task,2022.2.4,143.87185040075676,
positions.xlsx,positions_test.xlsx,positions_test_new.xlsx,stimuli.xlsx,stimuli_new.xlsx,stimuli/Social4.png,stimuli/Social3.png,stimuli/Nonsocial4.png,stimuli/Nonsocial3.png,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial2.png,stimuli/Nonsocial1.png,cs_pos_s,"(0.7, 0.5)",,,,,,,,,0,0,0,0,,,,,,,,,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.03813399991486,-3,reward,1,0.4305608000140637,0.4305646999273449,331.48259249993134,,,,,,,,,,,,,,,,,,,,,,46,D,2024-05-22_09h21.00.978,attentional_competition_task,2022.2.4,143.87185040075676,
positions.xlsx,positions_test.xlsx,positions_test_new.xlsx,stimuli.xlsx,stimuli_new.xlsx,stimuli/Social4.png,stimuli/Social3.png,stimuli/Nonsocial4.png,stimuli/Nonsocial3.png,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial2.png,stimuli/Nonsocial1.png,cs_neg_s,"(0.7, -0.5)",,,,,,,,,0,0,0,0,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.7809236999601,-3,none,0,,,341.79465209995396,,,,,,,,,,,,,,,,,,,,,,46,D,2024-05-22_09h21.00.978,attentional_competition_task,2022.2.4,143.87185040075676,
